text,reading_ease,adjective_count,adverb_count,noun_count,verb_count,label
building wall mexico border take literally year,0.07746478873239437,0.0,0.14285714285714285,0.2,0.14285714285714285,0
wisconsin pace double number layoff year,0.16901408450704225,0.0,0.0,0.25,0.09523809523809523,4
say john mccain done nothing help vet,0.11267605633802817,0.0,0.0,0.2,0.19047619047619047,4
suzanne bonamici support plan cut choice medicare advantage senior,0.2112676056338028,0.1111111111111111,0.0,0.30000000000000004,0.14285714285714285,2
say tennessee law requires school receive half proceeds million per year half cent increase shelby county sale tax,0.4084507042253521,0.3333333333333333,0.0,0.5,0.14285714285714285,0
say vice president joe biden admits american people scammed economic stimulus package,0.36619718309859156,0.2222222222222222,0.0,0.35000000000000003,0.23809523809523808,3
donald trump marriage equality want go back,0.06338028169014084,0.0,0.14285714285714285,0.2,0.14285714285714285,0
know half hillary clinton meeting secretary state given major contributor clinton foundation,0.4366197183098592,0.3333333333333333,0.0,0.4,0.19047619047619047,3
politifact texas say congressman edward attack bill flores false,0.18309859154929578,0.1111111111111111,0.0,0.35000000000000003,0.09523809523809523,3
residency requirement public worker,0.11267605633802817,0.1111111111111111,0.0,0.15000000000000002,0.0,2
unfortunately documented instance people defecated statehouse building,0.22535211267605634,0.0,0.2857142857142857,0.2,0.14285714285714285,5
recent gallup poll found percent american percent democrat say biggest threat nation security big government,0.4507042253521127,0.3333333333333333,0.0,0.5,0.14285714285714285,2
year people die america health care,0.18309859154929578,0.0,0.0,0.25,0.14285714285714285,0
public safety issue city allow transgender people use bathroom gender identify,0.3943661971830986,0.2222222222222222,0.2857142857142857,0.30000000000000004,0.23809523809523808,1
say mitt romney one first national republican leader endorse marco rubio,0.23943661971830987,0.3333333333333333,0.0,0.25,0.14285714285714285,2
number illegal immigrant could million could million,0.09859154929577466,0.1111111111111111,0.0,0.1,0.19047619047619047,5
time someone like scalia ginsburg got plus vote,0.16901408450704225,0.0,0.2857142857142857,0.25,0.09523809523809523,0
gone red line syria,0.1267605633802817,0.1111111111111111,0.14285714285714285,0.1,0.14285714285714285,3
contends president obama literally said cap trade proposal pas utility rate word would necessarily skyrocket,0.5070422535211268,0.0,0.42857142857142855,0.4,0.2857142857142857,0
active duty male military twice likely develop prostate cancer civilian counterpart,0.3380281690140845,0.3333333333333333,0.2857142857142857,0.30000000000000004,0.09523809523809523,1
since senate different party president white house confirmed supreme court nominee,0.4084507042253521,0.3333333333333333,0.0,0.30000000000000004,0.09523809523809523,4
united state low voter turnout rate,0.09859154929577466,0.2222222222222222,0.0,0.2,0.047619047619047616,0
federal health care law health plan canceled florida,0.2112676056338028,0.1111111111111111,0.0,0.30000000000000004,0.047619047619047616,3
massachusetts scott brown pushed law force woman considering abortion force look color photograph developing fetus,0.49295774647887325,0.1111111111111111,0.0,0.45,0.23809523809523808,1
fed created trillion nothing gave bank foreign bank could stabilize operation,0.19014084507042253,0.1111111111111111,0.14285714285714285,0.25,0.19047619047619047,0
texas family kept billion family budget since successfully fought restore texas sale tax deduction decade ago,0.4647887323943662,0.2222222222222222,0.14285714285714285,0.4,0.19047619047619047,0
pre existing condition covered health care plan,0.15492957746478875,0.0,0.0,0.25,0.14285714285714285,3
say second debate hillary clinton landslide every poll,0.18309859154929578,0.2222222222222222,0.0,0.2,0.09523809523809523,5
newt gingrich first advocated individual mandate health care recently may year still advocating,0.2183098591549296,0.1111111111111111,0.5714285714285714,0.30000000000000004,0.19047619047619047,1
say result national health care reform congressional budget office say save million first year next year save trillion saving term health care,0.1784037558685446,0.4444444444444444,0.0,0.55,0.23809523809523808,3
said would vote patriot act came senate voted,0.29577464788732394,0.0,0.14285714285714285,0.15000000000000002,0.23809523809523808,2
federal minimum wage worth percent le ronald reagan gave first address joint session congress,0.4225352112676056,0.5555555555555556,0.14285714285714285,0.4,0.14285714285714285,1
proposed tax fund transportation project would spend take single vehicle road morning afternoon commute,0.4225352112676056,0.1111111111111111,0.0,0.4,0.23809523809523808,4
salesclerk hobby lobby need contraception going get service employer health care plan employer doesnt think using contraception,0.5492957746478874,0.1111111111111111,0.14285714285714285,0.55,0.38095238095238093,3
last year population growth state texas came texas state,0.19014084507042253,0.2222222222222222,0.0,0.30000000000000004,0.14285714285714285,2
undocumented child picked border told appear later court percent show,0.15492957746478875,0.1111111111111111,0.5714285714285714,0.2,0.2857142857142857,4
say gov chris christie cut spending billion provided million new education funding,0.29577464788732394,0.1111111111111111,0.0,0.35000000000000003,0.09523809523809523,2
he candidate who balanced budget brought job providence,0.1971830985915493,0.1111111111111111,0.0,0.25,0.14285714285714285,1
study shown absence federal reproductive health fund going see level abortion georgia increase percent,0.4507042253521127,0.3333333333333333,0.0,0.4,0.23809523809523808,2
acorn paid partner census bureau charge going door door collecting data american public,0.4225352112676056,0.1111111111111111,0.0,0.4,0.38095238095238093,5
sequester hit federal prosecutor let criminal go,0.22535211267605634,0.1111111111111111,0.0,0.15000000000000002,0.23809523809523808,3
say bill hillary clinton attended donald trump last wedding,0.14084507042253522,0.2222222222222222,0.0,0.25,0.09523809523809523,0
play role bringing company ri others government tasked handling legislation affecting company superior,0.29577464788732394,0.0,0.14285714285714285,0.35000000000000003,0.42857142857142855,4
tax cut deal giving billion millionaire billionaire,0.1971830985915493,0.0,0.0,0.25,0.09523809523809523,4
across country billion recovery act committed first day,0.29577464788732394,0.1111111111111111,0.0,0.2,0.14285714285714285,1
secretary department energy former president bill clinton created reserve home heating oil,0.4084507042253521,0.1111111111111111,0.0,0.5,0.047619047619047616,0
twenty five state lower unemployment texas tied mississippi minimum wage job anywhere united state,0.4225352112676056,0.4444444444444444,0.2857142857142857,0.35000000000000003,0.14285714285714285,0
bill rep david cicilline sponsored three year office single one advanced past embryonic committee stage,0.18309859154929578,0.3333333333333333,0.14285714285714285,0.35000000000000003,0.23809523809523808,2
state tax law start house renewal state hospital bed tax year started senate unconstitutional,0.47887323943661975,0.1111111111111111,0.0,0.5,0.23809523809523808,3
strong bipartisan majority house representative voted defund obamacare,0.23943661971830987,0.2222222222222222,0.0,0.2,0.09523809523809523,4
fact say best scenario kid loving mom dad,0.08450704225352113,0.1111111111111111,0.0,0.25,0.19047619047619047,4
say mark neumann nancy pelosi,0.056338028169014086,0.1111111111111111,0.0,0.15000000000000002,0.047619047619047616,4
hear gov christie tell everything new jersey going fine well see another new jersey unemployed one worst jobless rate country working middle class family seen cost soar property tax college tuition,0.13239436619718312,0.8888888888888888,0.2857142857142857,0.65,0.42857142857142855,2
say delegate cant legally change republican national convention rule prevent donald trump nomination,0.35211267605633806,0.2222222222222222,0.14285714285714285,0.30000000000000004,0.19047619047619047,3
rebuilding three high school benefit percent portland public school student,0.2112676056338028,0.2222222222222222,0.0,0.25,0.14285714285714285,5
providence lowest crime rate three decade,0.1267605633802817,0.1111111111111111,0.0,0.2,0.047619047619047616,0
say he taken pay decrease nine year office,0.22535211267605634,0.0,0.0,0.25,0.19047619047619047,2
decision united state buy heavy water iran directly subsidize iran nuclear program,0.36619718309859156,0.3333333333333333,0.14285714285714285,0.30000000000000004,0.14285714285714285,3
texas department transportation misplaced billion dollar,0.06338028169014084,0.1111111111111111,0.0,0.15000000000000002,0.047619047619047616,1
pepper kicked jock tax imposing levy sport entertainment industry,0.3098591549295775,0.0,0.0,0.35000000000000003,0.09523809523809523,0
mayor tom barrett number milwaukee police officer increased,0.2112676056338028,0.1111111111111111,0.14285714285714285,0.25,0.14285714285714285,0
say milken institute rated san antonio nation top performing local economy,0.23943661971830987,0.2222222222222222,0.0,0.2,0.19047619047619047,0
say people africa literally walk two three hundred mile order vote,0.2112676056338028,0.1111111111111111,0.14285714285714285,0.15000000000000002,0.19047619047619047,5
world war ii people actually health insurance,0.18309859154929578,0.2222222222222222,0.2857142857142857,0.25,0.047619047619047616,0
half child struck car near school hit parent driving child school,0.1971830985915493,0.0,0.0,0.35000000000000003,0.19047619047619047,4
citizen property insurance billion worth risk le billion worth surplus,0.3380281690140845,0.1111111111111111,0.0,0.35000000000000003,0.047619047619047616,3
tom leppert pledged make dallas sanctuary city illegal immigrant,0.22535211267605634,0.3333333333333333,0.0,0.2,0.09523809523809523,3
putting three republican cabinet unprecedented,0.15492957746478875,0.1111111111111111,0.0,0.1,0.09523809523809523,0
result climate change ice fisherman wisconsin already noticing fewer day ice covered lake,0.3943661971830986,0.1111111111111111,0.14285714285714285,0.45,0.23809523809523808,0
iran president hassan rouhani cabinet member ph american university member barack obamas cabinet,0.17605633802816903,0.4444444444444444,0.0,0.5,0.047619047619047616,0
barack obama say he going reduce long term debt deficit trillion doesnt say he going,0.323943661971831,0.1111111111111111,0.14285714285714285,0.4,0.2857142857142857,5
birth control pioneer margaret sanger wasan active participant ku klux klan,0.2112676056338028,0.1111111111111111,0.0,0.45,0.047619047619047616,4
say president obama national labor relation board sued boeing decision open plant south carolina,0.4366197183098592,0.2222222222222222,0.0,0.4,0.19047619047619047,2
rep lloyd doggett liberal man united state congress,0.1971830985915493,0.2222222222222222,0.14285714285714285,0.30000000000000004,0.047619047619047616,4
entirely possible democratic nominee hillary clinton earned money giving single speech wall street made six year back fact quite likely,0.647887323943662,0.6666666666666666,0.2857142857142857,0.45,0.19047619047619047,3
delaware democratic senate candidate chris coon thought call taxed,0.2535211267605634,0.1111111111111111,0.0,0.30000000000000004,0.19047619047619047,3
president obama lowest public approval rating president modern time,0.22535211267605634,0.3333333333333333,0.0,0.30000000000000004,0.047619047619047616,5
neville chamberlain told british people accept nazi yes dominate continent europe problem let appease cant done possibly stand,0.10140845070422534,0.3333333333333333,0.7142857142857142,0.30000000000000004,0.5238095238095237,3
income cap recipient popular hope scholarship,0.2112676056338028,0.1111111111111111,0.0,0.25,0.0,4
